date,product_id,warehouse_id,sales_qty,price,promotion_flag,channel
2023-01-01,P001,WH_East,35,299.99,0,Online
2023-01-01,P001,WH_West,20,299.99,0,Online
2023-01-01,P002,WH_East,27,299.99,0,Online
2023-01-01,P002,WH_West,27,199.99,1,Offline
2023-01-01,P003,WH_East,170,89.99,0,Offline
2023-01-01,P003,WH_West,87,19.99,0,Offline
2023-01-01,P004,WH_East,136,89.99,0,Online
2023-01-01,P004,WH_West,62,89.99,0,Online
2023-01-01,P005,WH_East,48,149.99,0,Offline
2023-01-01,P005,WH_West,31,79.99,0,Offline
2023-01-01,P006,WH_East,46,149.99,0,Online
2023-01-01,P006,WH_West,31,149.99,0,Offline
2023-01-02,P001,WH_East,20,299.99,0,Online
2023-01-02,P001,WH_West,12,299.99,0,Offline
2023-01-02,P002,WH_East,20,299.99,0,Offline
2023-01-02,P002,WH_West,9,199.99,0,Offline
2023-01-02,P003,WH_East,134,89.99,0,Offline
2023-01-02,P003,WH_West,109,19.99,1,Online
2023-01-02,P004,WH_East,78,89.99,0,Online
2023-01-02,P004,WH_West,42,89.99,0,Online
2023-01-02,P005,WH_East,29,149.99,0,Online
2023-01-02,P005,WH_West,23,79.99,0,Online
2023-01-02,P006,WH_East,35,149.99,0,Online
2023-01-02,P006,WH_West,19,149.99,0,Offline
2023-01-03,P001,WH_East,24,299.99,0,Online
2023-01-03,P001,WH_West,11,299.99,0,Offline
2023-01-03,P002,WH_East,20,299.99,0,Online
2023-01-03,P002,WH_West,9,199.99,0,Offline
2023-01-03,P003,WH_East,255,89.99,1,Offline
2023-01-03,P003,WH_West,93,19.99,1,Online
2023-01-03,P004,WH_East,99,89.99,0,Online
2023-01-03,P004,WH_West,49,89.99,0,Online
2023-01-03,P005,WH_East,36,149.99,0,Online
2023-01-03,P005,WH_West,19,79.99,0,Online
2023-01-03,P006,WH_East,32,149.99,0,Online
2023-01-03,P006,WH_West,22,149.99,0,Offline
2023-01-04,P001,WH_East,23,299.99,0,Online
2023-01-04,P001,WH_West,12,299.99,0,Online
2023-01-04,P002,WH_East,32,299.99,1,Online
2023-01-04,P002,WH_West,10,199.99,0,Offline
2023-01-04,P003,WH_East,101,89.99,0,Offline
2023-01-04,P003,WH_West,53,19.99,0,Offline
2023-01-04,P004,WH_East,97,89.99,0,Online
2023-01-04,P004,WH_West,50,89.99,0,Offline
2023-01-04,P005,WH_East,34,149.99,0,Online
2023-01-04,P005,WH_West,26,79.99,0,Online
2023-01-04,P006,WH_East,34,149.99,0,Online
2023-01-04,P006,WH_West,39,149.99,1,Online
2023-01-05,P001,WH_East,19,299.99,0,Offline
2023-01-05,P001,WH_West,11,299.99,0,Offline
2023-01-05,P002,WH_East,18,299.99,0,Online
2023-01-05,P002,WH_West,9,199.99,0,Offline
2023-01-05,P003,WH_East,114,89.99,0,Offline
2023-01-05,P003,WH_West,55,19.99,0,Offline
2023-01-05,P004,WH_East,81,89.99,0,Offline
2023-01-05,P004,WH_West,48,89.99,0,Offline
2023-01-05,P005,WH_East,33,149.99,0,Offline
2023-01-05,P005,WH_West,28,79.99,0,Offline
2023-01-05,P006,WH_East,33,149.99,0,Online
2023-01-05,P006,WH_West,20,149.99,0,Offline
2023-01-06,P001,WH_East,21,299.99,0,Online
2023-01-06,P001,WH_West,10,299.99,0,Online
2023-01-06,P002,WH_East,42,299.99,1,Offline
2023-01-06,P002,WH_West,9,199.99,0,Offline
2023-01-06,P003,WH_East,100,89.99,0,Online
2023-01-06,P003,WH_West,54,19.99,0,Online
2023-01-06,P004,WH_East,95,89.99,0,Online
2023-01-06,P004,WH_West,52,89.99,0,Online
2023-01-06,P005,WH_East,35,149.99,0,Online
2023-01-06,P005,WH_West,23,79.99,0,Online
2023-01-06,P006,WH_East,38,149.99,0,Offline
2023-01-06,P006,WH_West,23,149.99,0,Online
2023-01-07,P001,WH_East,34,299.99,0,Online
2023-01-07,P001,WH_West,18,299.99,0,Online
2023-01-07,P002,WH_East,75,299.99,1,Online
2023-01-07,P002,WH_West,15,199.99,0,Online
2023-01-07,P003,WH_East,160,89.99,0,Offline
2023-01-07,P003,WH_West,145,19.99,1,Offline
2023-01-07,P004,WH_East,232,89.99,1,Online
2023-01-07,P004,WH_West,67,89.99,0,Offline
2023-01-07,P005,WH_East,42,149.99,0,Online
2023-01-07,P005,WH_West,33,79.99,0,Online
2023-01-07,P006,WH_East,109,149.99,1,Offline
2023-01-07,P006,WH_West,33,149.99,0,Online
2023-01-08,P001,WH_East,63,299.99,1,Offline
2023-01-08,P001,WH_West,18,299.99,0,Online
2023-01-08,P002,WH_East,24,299.99,0,Offline
2023-01-08,P002,WH_West,11,199.99,0,Offline
2023-01-08,P003,WH_East,162,89.99,0,Online
2023-01-08,P003,WH_West,81,19.99,0,Online
2023-01-08,P004,WH_East,149,89.99,0,Offline
2023-01-08,P004,WH_West,79,89.99,0,Offline
2023-01-08,P005,WH_East,50,149.99,0,Online
2023-01-08,P005,WH_West,43,79.99,0,Offline
2023-01-08,P006,WH_East,52,149.99,0,Offline
2023-01-08,P006,WH_West,30,149.99,0,Offline
2023-01-09,P001,WH_East,25,299.99,0,Offline
2023-01-09,P001,WH_West,12,299.99,0,Offline
2023-01-09,P002,WH_East,22,299.99,0,Online
2023-01-09,P002,WH_West,10,199.99,0,Online
2023-01-09,P003,WH_East,115,89.99,0,Online
2023-01-09,P003,WH_West,59,19.99,0,Online
2023-01-09,P004,WH_East,84,89.99,0,Online
2023-01-09,P004,WH_West,105,89.99,1,Offline
2023-01-09,P005,WH_East,33,149.99,0,Offline
2023-01-09,P005,WH_West,21,79.99,0,Online
2023-01-09,P006,WH_East,33,149.99,0,Online
2023-01-09,P006,WH_West,21,149.99,0,Offline
2023-01-10,P001,WH_East,25,299.99,0,Online
2023-01-10,P001,WH_West,14,299.99,0,Offline
2023-01-10,P002,WH_East,22,299.99,0,Online
2023-01-10,P002,WH_West,12,199.99,0,Offline
2023-01-10,P003,WH_East,117,89.99,0,Offline
2023-01-10,P003,WH_West,54,19.99,0,Offline
2023-01-10,P004,WH_East,69,89.99,0,Online
2023-01-10,P004,WH_West,48,89.99,0,Offline
2023-01-10,P005,WH_East,32,149.99,0,Offline
2023-01-10,P005,WH_West,29,79.99,0,Offline
2023-01-10,P006,WH_East,37,149.99,0,Online
2023-01-10,P006,WH_West,19,149.99,0,Online
2023-01-11,P001,WH_East,23,299.99,0,Online
2023-01-11,P001,WH_West,13,299.99,0,Offline
2023-01-11,P002,WH_East,21,299.99,0,Online
2023-01-11,P002,WH_West,10,199.99,0,Offline
2023-01-11,P003,WH_East,139,89.99,0,Offline
2023-01-11,P003,WH_West,60,19.99,0,Offline
2023-01-11,P004,WH_East,88,89.99,0,Online
2023-01-11,P004,WH_West,44,89.99,0,Offline
2023-01-11,P005,WH_East,38,149.99,0,Offline
2023-01-11,P005,WH_West,21,79.99,0,Online
2023-01-11,P006,WH_East,34,149.99,0,Offline
2023-01-11,P006,WH_West,21,149.99,0,Online
2023-01-12,P001,WH_East,25,299.99,0,Online
2023-01-12,P001,WH_West,12,299.99,0,Online
2023-01-12,P002,WH_East,23,299.99,0,Offline
2023-01-12,P002,WH_West,8,199.99,0,Online
2023-01-12,P003,WH_East,100,89.99,0,Online
2023-01-12,P003,WH_West,60,19.99,0,Offline
2023-01-12,P004,WH_East,84,89.99,0,Offline
2023-01-12,P004,WH_West,43,89.99,0,Offline
2023-01-12,P005,WH_East,38,149.99,0,Online
2023-01-12,P005,WH_West,26,79.99,0,Online
2023-01-12,P006,WH_East,33,149.99,0,Online
2023-01-12,P006,WH_West,25,149.99,0,Offline
2023-01-13,P001,WH_East,25,299.99,0,Offline
2023-01-13,P001,WH_West,12,299.99,0,Online
2023-01-13,P002,WH_East,19,299.99,0,Offline
2023-01-13,P002,WH_West,9,199.99,0,Online
2023-01-13,P003,WH_East,103,89.99,0,Online
2023-01-13,P003,WH_West,57,19.99,0,Online
2023-01-13,P004,WH_East,83,89.99,0,Online
2023-01-13,P004,WH_West,43,89.99,0,Online
2023-01-13,P005,WH_East,37,149.99,0,Online
2023-01-13,P005,WH_West,23,79.99,0,Online
2023-01-13,P006,WH_East,31,149.99,0,Offline
2023-01-13,P006,WH_West,22,149.99,0,Online
2023-01-14,P001,WH_East,37,299.99,0,Online
2023-01-14,P001,WH_West,19,299.99,0,Online
2023-01-14,P002,WH_East,31,299.99,0,Online
2023-01-14,P002,WH_West,14,199.99,0,Offline
2023-01-14,P003,WH_East,195,89.99,0,Online
2023-01-14,P003,WH_West,81,19.99,0,Online
2023-01-14,P004,WH_East,130,89.99,0,Online
2023-01-14,P004,WH_West,64,89.99,0,Offline
2023-01-14,P005,WH_East,50,149.99,0,Online
2023-01-14,P005,WH_West,32,79.99,0,Offline
2023-01-14,P006,WH_East,52,149.99,0,Offline
2023-01-14,P006,WH_West,32,149.99,0,Offline
2023-01-15,P001,WH_East,34,299.99,0,Offline
2023-01-15,P001,WH_West,18,299.99,0,Online
2023-01-15,P002,WH_East,29,299.99,0,Offline
2023-01-15,P002,WH_West,14,199.99,0,Offline
2023-01-15,P003,WH_East,155,89.99,0,Offline
2023-01-15,P003,WH_West,78,19.99,0,Offline
2023-01-15,P004,WH_East,135,89.99,0,Online
2023-01-15,P004,WH_West,70,89.99,0,Offline
2023-01-15,P005,WH_East,54,149.99,0,Offline
2023-01-15,P005,WH_West,38,79.99,0,Offline
2023-01-15,P006,WH_East,46,149.99,0,Online
2023-01-15,P006,WH_West,28,149.99,0,Online
2023-01-16,P001,WH_East,26,299.99,0,Online
2023-01-16,P001,WH_West,13,299.99,0,Online
2023-01-16,P002,WH_East,23,299.99,0,Offline
2023-01-16,P002,WH_West,10,199.99,0,Offline
2023-01-16,P003,WH_East,108,89.99,0,Online
2023-01-16,P003,WH_West,59,19.99,0,Online
2023-01-16,P004,WH_East,88,89.99,0,Online
2023-01-16,P004,WH_West,47,89.99,0,Offline
2023-01-16,P005,WH_East,28,149.99,0,Offline
2023-01-16,P005,WH_West,31,79.99,0,Online
2023-01-16,P006,WH_East,33,149.99,0,Online
2023-01-16,P006,WH_West,21,149.99,0,Offline
2023-01-17,P001,WH_East,23,299.99,0,Online
2023-01-17,P001,WH_West,13,299.99,0,Offline
2023-01-17,P002,WH_East,24,299.99,0,Online
2023-01-17,P002,WH_West,10,199.99,0,Offline
2023-01-17,P003,WH_East,250,89.99,1,Offline
2023-01-17,P003,WH_West,56,19.99,0,Online
2023-01-17,P004,WH_East,99,89.99,0,Online
2023-01-17,P004,WH_West,39,89.99,0,Offline
2023-01-17,P005,WH_East,33,149.99,0,Online
2023-01-17,P005,WH_West,23,79.99,0,Online
2023-01-17,P006,WH_East,29,149.99,0,Online
2023-01-17,P006,WH_West,21,149.99,0,Online
2023-01-18,P001,WH_East,22,299.99,0,Offline
2023-01-18,P001,WH_West,12,299.99,0,Offline
